Teks_Manado,Teks_Indo
Ngoni nyanda suka makanan di kampus kote.,Kalian tidak suka makanan di kampus.
Maitua so beking makanan di kampus jo.,Pacar (pr) sudah membuat makanan di kampus.
Tu dosen so makang makanan tadi pagi to.,Dosen itu sudah makan makanan tadi pagi.
Tu dosen ada lia oto cepat-cepat sto.,Dosen itu melihat mobil dengan cepat.
Kita ba tele baju baru cepat-cepat neh.,Saya menelepon baju baru dengan cepat.
Tu dosen ada lia tugas skripsi pas ujang dang.,Dosen itu melihat tugas skripsi saat hujan.
Paitua so beking makanan di Megamas dang.,Pacar (lk) sudah membuat makanan di Megamas.
Ngana ba tele makanan cepat-cepat neh.,Kamu menelepon makanan dengan cepat.
Ngana so jual baju baru di Megamas kote.,Kamu sudah menjual baju baru di Megamas.
Dia ba tele tugas skripsi tadi pagi to.,Dia menelepon tugas skripsi tadi pagi.
Ngoni so makang makanan diam-diam neh.,Kalian sudah makan makanan diam-diam.
Dia mo pigi cari makanan cepat-cepat dang.,Dia akan pergi mencari makanan dengan cepat.
Dia mo pigi cari tugas skripsi diam-diam kote.,Dia akan pergi mencari tugas skripsi diam-diam.
Ngana ba tele kunci rumah kemarin sore neh.,Kamu menelepon kunci rumah kemarin sore.
Dia so makang oto cepat-cepat dang.,Dia sudah makan mobil dengan cepat.
Ngana so jual hp kemarin sore to.,Kamu sudah menjual handphone kemarin sore.
Dorang mo pigi cari laporan cepat-cepat sto.,Mereka akan pergi mencari laporan dengan cepat.
Dorang nyanda suka tugas skripsi di Megamas sto.,Mereka tidak suka tugas skripsi di Megamas.
Ngana mo pigi cari hp di Megamas kote.,Kamu akan pergi mencari handphone di Megamas.
Ngana so beking doi pas ujang neh.,Kamu sudah membuat uang saat hujan.
Ngoni lupa bawa oto di Megamas jo.,Kalian lupa membawa mobil di Megamas.
Mama nyanda suka doi pas ujang kang.,Ibu tidak suka uang saat hujan.
Tu dosen so jual kunci rumah pas ujang kote.,Dosen itu sudah menjual kunci rumah saat hujan.
Paitua so jual tugas skripsi tadi pagi kang.,Pacar (lk) sudah menjual tugas skripsi tadi pagi.
Ngana so makang oto tadi pagi dang.,Kamu sudah makan mobil tadi pagi.
Mama so beking hp tadi pagi dang.,Ibu sudah membuat handphone tadi pagi.
Tu dosen ada lia baju baru di Megamas kote.,Dosen itu melihat baju baru di Megamas.
Ngana nyanda suka makanan di Megamas jo.,Kamu tidak suka makanan di Megamas.
Paitua ada lia kunci rumah cepat-cepat kang.,Pacar (lk) melihat kunci rumah dengan cepat.
Kita ada lia baju baru diam-diam dang.,Saya melihat baju baru diam-diam.
Ngana so beking hp tadi pagi kang.,Kamu sudah membuat handphone tadi pagi.
Ngana so makang laporan tadi pagi dang.,Kamu sudah makan laporan tadi pagi.
Ngoni ada lia baju baru kemarin sore jo.,Kalian melihat baju baru kemarin sore.
Dorang so jual kunci rumah cepat-cepat kang.,Mereka sudah menjual kunci rumah dengan cepat.
Ngoni so makang baju baru cepat-cepat neh.,Kalian sudah makan baju baru dengan cepat.
Paitua mo pigi cari baju baru pas ujang kote.,Pacar (lk) akan pergi mencari baju baru saat hujan.
Ngana mo pigi cari kunci rumah cepat-cepat neh.,Kamu akan pergi mencari kunci rumah dengan cepat.
Tu dosen so jual doi pas ujang kote.,Dosen itu sudah menjual uang saat hujan.
Mama so makang laporan tadi pagi kote.,Ibu sudah makan laporan tadi pagi.
Dia ada lia laporan diam-diam jo.,Dia melihat laporan diam-diam.
Ngana ada lia hp pas ujang jo.,Kamu melihat handphone saat hujan.
Kita nyanda suka makanan diam-diam to.,Saya tidak suka makanan diam-diam.
Dorang so makang laporan pas ujang kote.,Mereka sudah makan laporan saat hujan.
Mama ada lia tugas skripsi di kampus dang.,Ibu melihat tugas skripsi di kampus.
Maitua mo pigi cari makanan pas ujang to.,Pacar (pr) akan pergi mencari makanan saat hujan.
Ngana nyanda suka baju baru pas ujang neh.,Kamu tidak suka baju baru saat hujan.
Ngoni so makang oto tadi pagi kote.,Kalian sudah makan mobil tadi pagi.
Paitua so jual kunci rumah pas ujang neh.,Pacar (lk) sudah menjual kunci rumah saat hujan.
Paitua so makang makanan tadi pagi to.,Pacar (lk) sudah makan makanan tadi pagi.
Dia so makang hp tadi pagi neh.,Dia sudah makan handphone tadi pagi.
Ngana ba tele tugas skripsi pas ujang sto.,Kamu menelepon tugas skripsi saat hujan.
Dorang so makang doi di kampus kang.,Mereka sudah makan uang di kampus.
Kita lupa bawa doi cepat-cepat kote.,Saya lupa membawa uang dengan cepat.
Tu dosen nyanda suka hp di Megamas neh.,Dosen itu tidak suka handphone di Megamas.
Paitua mo pigi cari doi diam-diam sto.,Pacar (lk) akan pergi mencari uang diam-diam.
Ngoni so jual makanan di Megamas jo.,Kalian sudah menjual makanan di Megamas.
Mama mo pigi cari hp diam-diam neh.,Ibu akan pergi mencari handphone diam-diam.
Tu dosen so beking hp kemarin sore dang.,Dosen itu sudah membuat handphone kemarin sore.
Dia ba tele oto tadi pagi kote.,Dia menelepon mobil tadi pagi.
Dorang nyanda suka makanan tadi pagi jo.,Mereka tidak suka makanan tadi pagi.
Dorang ada lia tugas skripsi di kampus kang.,Mereka melihat tugas skripsi di kampus.
Torang so makang makanan cepat-cepat kang.,Kami sudah makan makanan dengan cepat.
Paitua so makang baju baru diam-diam kote.,Pacar (lk) sudah makan baju baru diam-diam.
Ngana mo pigi cari doi tadi pagi sto.,Kamu akan pergi mencari uang tadi pagi.
Dorang so makang baju baru kemarin sore neh.,Mereka sudah makan baju baru kemarin sore.
Maitua ada lia doi di Megamas kote.,Pacar (pr) melihat uang di Megamas.
Maitua ba tele baju baru di Megamas neh.,Pacar (pr) menelepon baju baru di Megamas.
Paitua so makang kunci rumah tadi pagi kang.,Pacar (lk) sudah makan kunci rumah tadi pagi.
Maitua ba tele oto tadi pagi dang.,Pacar (pr) menelepon mobil tadi pagi.
Ngoni lupa bawa hp di kampus sto.,Kalian lupa membawa handphone di kampus.
Kita lupa bawa laporan di kampus kote.,Saya lupa membawa laporan di kampus.
Paitua so beking oto diam-diam kote.,Pacar (lk) sudah membuat mobil diam-diam.
Tu dosen so makang laporan kemarin sore sto.,Dosen itu sudah makan laporan kemarin sore.
Ngoni so beking tugas skripsi di kampus dang.,Kalian sudah membuat tugas skripsi di kampus.
Torang so jual laporan kemarin sore kote.,Kami sudah menjual laporan kemarin sore.
Ngana so makang hp di Megamas dang.,Kamu sudah makan handphone di Megamas.
Kita lupa bawa doi di kampus to.,Saya lupa membawa uang di kampus.
Maitua so beking kunci rumah kemarin sore to.,Pacar (pr) sudah membuat kunci rumah kemarin sore.
Dia so jual hp pas ujang kang.,Dia sudah menjual handphone saat hujan.
Mama ba tele oto di kampus kote.,Ibu menelepon mobil di kampus.
Paitua lupa bawa laporan diam-diam neh.,Pacar (lk) lupa membawa laporan diam-diam.
Dia so jual oto kemarin sore kang.,Dia sudah menjual mobil kemarin sore.
Maitua ba tele laporan di Megamas kang.,Pacar (pr) menelepon laporan di Megamas.
Mama lupa bawa kunci rumah di kampus to.,Ibu lupa membawa kunci rumah di kampus.
Maitua mo pigi cari makanan di kampus to.,Pacar (pr) akan pergi mencari makanan di kampus.
Ngoni ada lia makanan tadi pagi to.,Kalian melihat makanan tadi pagi.
Paitua nyanda suka laporan kemarin sore sto.,Pacar (lk) tidak suka laporan kemarin sore.
Dorang lupa bawa makanan kemarin sore to.,Mereka lupa membawa makanan kemarin sore.
Kita mo pigi cari baju baru di Megamas dang.,Saya akan pergi mencari baju baru di Megamas.
Tu dosen nyanda suka doi di Megamas kote.,Dosen itu tidak suka uang di Megamas.
Torang mo pigi cari laporan pas ujang kang.,Kami akan pergi mencari laporan saat hujan.
Dia ba tele doi cepat-cepat dang.,Dia menelepon uang dengan cepat.
Torang mo pigi cari baju baru cepat-cepat kang.,Kami akan pergi mencari baju baru dengan cepat.
Dia so beking tugas skripsi cepat-cepat neh.,Dia sudah membuat tugas skripsi dengan cepat.
Ngana so jual oto di Megamas sto.,Kamu sudah menjual mobil di Megamas.
Torang mo pigi cari oto di kampus neh.,Kami akan pergi mencari mobil di kampus.
Maitua so makang laporan di Megamas sto.,Pacar (pr) sudah makan laporan di Megamas.
Dia mo pigi cari hp cepat-cepat neh.,Dia akan pergi mencari handphone dengan cepat.
Torang so makang doi di Megamas kang.,Kami sudah makan uang di Megamas.
Maitua mo pigi cari oto diam-diam to.,Pacar (pr) akan pergi mencari mobil diam-diam.
Kita ada lia laporan di kampus jo.,Saya melihat laporan di kampus.
Kita ba tele hp di kampus kang.,Saya menelepon handphone di kampus.
Dia ada lia laporan tadi pagi jo.,Dia melihat laporan tadi pagi.
Dorang so jual tugas skripsi cepat-cepat sto.,Mereka sudah menjual tugas skripsi dengan cepat.
Maitua so beking doi tadi pagi kote.,Pacar (pr) sudah membuat uang tadi pagi.
Dia nyanda suka hp di kampus sto.,Dia tidak suka handphone di kampus.
Tu dosen so makang hp kemarin sore to.,Dosen itu sudah makan handphone kemarin sore.
Kita ba tele hp pas ujang kang.,Saya menelepon handphone saat hujan.
Dorang so makang kunci rumah cepat-cepat to.,Mereka sudah makan kunci rumah dengan cepat.
Paitua so beking hp diam-diam to.,Pacar (lk) sudah membuat handphone diam-diam.
Paitua so makang laporan tadi pagi kote.,Pacar (lk) sudah makan laporan tadi pagi.
Tu dosen so jual doi tadi pagi jo.,Dosen itu sudah menjual uang tadi pagi.
Tu dosen so jual tugas skripsi di kampus neh.,Dosen itu sudah menjual tugas skripsi di kampus.
Dia nyanda suka doi di Megamas kang.,Dia tidak suka uang di Megamas.
Torang so jual doi pas ujang kote.,Kami sudah menjual uang saat hujan.
Mama so jual oto di Megamas neh.,Ibu sudah menjual mobil di Megamas.
Ngoni ada lia kunci rumah kemarin sore sto.,Kalian melihat kunci rumah kemarin sore.
Ngoni ada lia tugas skripsi kemarin sore kang.,Kalian melihat tugas skripsi kemarin sore.
Dorang ba tele oto tadi pagi neh.,Mereka menelepon mobil tadi pagi.
Mama nyanda suka doi di Megamas sto.,Ibu tidak suka uang di Megamas.
Kita lupa bawa hp tadi pagi jo.,Saya lupa membawa handphone tadi pagi.
Dorang mo pigi cari laporan di Megamas neh.,Mereka akan pergi mencari laporan di Megamas.
Ngana ba tele kunci rumah di Megamas sto.,Kamu menelepon kunci rumah di Megamas.
Paitua so beking hp kemarin sore sto.,Pacar (lk) sudah membuat handphone kemarin sore.
Maitua so beking doi kemarin sore neh.,Pacar (pr) sudah membuat uang kemarin sore.
Tu dosen lupa bawa laporan cepat-cepat kote.,Dosen itu lupa membawa laporan dengan cepat.
Tu dosen mo pigi cari oto di Megamas kote.,Dosen itu akan pergi mencari mobil di Megamas.
Paitua so makang doi diam-diam jo.,Pacar (lk) sudah makan uang diam-diam.
Kita lupa bawa baju baru di Megamas jo.,Saya lupa membawa baju baru di Megamas.
Dorang lupa bawa doi kemarin sore kote.,Mereka lupa membawa uang kemarin sore.
Ngoni ada lia kunci rumah kemarin sore kote.,Kalian melihat kunci rumah kemarin sore.
Tu dosen so makang laporan diam-diam dang.,Dosen itu sudah makan laporan diam-diam.
Mama nyanda suka baju baru kemarin sore sto.,Ibu tidak suka baju baru kemarin sore.
Tu dosen mo pigi cari tugas skripsi di Megamas kang.,Dosen itu akan pergi mencari tugas skripsi di Megamas.
Dorang lupa bawa kunci rumah cepat-cepat to.,Mereka lupa membawa kunci rumah dengan cepat.
Ngana mo pigi cari hp di Megamas to.,Kamu akan pergi mencari handphone di Megamas.
Paitua so makang doi kemarin sore dang.,Pacar (lk) sudah makan uang kemarin sore.
Ngana so beking tugas skripsi kemarin sore dang.,Kamu sudah membuat tugas skripsi kemarin sore.
Torang so beking tugas skripsi cepat-cepat jo.,Kami sudah membuat tugas skripsi dengan cepat.
Dorang nyanda suka hp diam-diam kote.,Mereka tidak suka handphone diam-diam.
Ngana so beking tugas skripsi di Megamas sto.,Kamu sudah membuat tugas skripsi di Megamas.
Paitua mo pigi cari oto pas ujang neh.,Pacar (lk) akan pergi mencari mobil saat hujan.
Dorang so beking tugas skripsi diam-diam dang.,Mereka sudah membuat tugas skripsi diam-diam.
Ngana nyanda suka kunci rumah diam-diam sto.,Kamu tidak suka kunci rumah diam-diam.
Kita so makang baju baru di Megamas neh.,Saya sudah makan baju baru di Megamas.
Maitua mo pigi cari makanan tadi pagi to.,Pacar (pr) akan pergi mencari makanan tadi pagi.
Tu dosen mo pigi cari oto di Megamas dang.,Dosen itu akan pergi mencari mobil di Megamas.
Torang lupa bawa doi cepat-cepat to.,Kami lupa membawa uang dengan cepat.
Kita nyanda suka baju baru pas ujang kote.,Saya tidak suka baju baru saat hujan.
Kita ba tele tugas skripsi diam-diam dang.,Saya menelepon tugas skripsi diam-diam.
Tu dosen ada lia hp di Megamas sto.,Dosen itu melihat handphone di Megamas.
Paitua lupa bawa oto tadi pagi dang.,Pacar (lk) lupa membawa mobil tadi pagi.
Torang ba tele laporan di kampus dang.,Kami menelepon laporan di kampus.
Torang mo pigi cari kunci rumah tadi pagi kote.,Kami akan pergi mencari kunci rumah tadi pagi.
Ngana mo pigi cari hp tadi pagi kang.,Kamu akan pergi mencari handphone tadi pagi.
Maitua nyanda suka kunci rumah kemarin sore jo.,Pacar (pr) tidak suka kunci rumah kemarin sore.
Tu dosen lupa bawa hp pas ujang to.,Dosen itu lupa membawa handphone saat hujan.
Kita so beking laporan kemarin sore to.,Saya sudah membuat laporan kemarin sore.
Torang ba tele makanan tadi pagi to.,Kami menelepon makanan tadi pagi.
Torang ba tele doi di Megamas kang.,Kami menelepon uang di Megamas.
Kita mo pigi cari hp tadi pagi neh.,Saya akan pergi mencari handphone tadi pagi.
Dorang nyanda suka doi di kampus dang.,Mereka tidak suka uang di kampus.
Tu dosen so jual hp di kampus kote.,Dosen itu sudah menjual handphone di kampus.
Ngana so jual baju baru tadi pagi to.,Kamu sudah menjual baju baru tadi pagi.
Torang ada lia baju baru di Megamas dang.,Kami melihat baju baru di Megamas.
Tu dosen nyanda suka kunci rumah kemarin sore neh.,Dosen itu tidak suka kunci rumah kemarin sore.
Ngoni so beking laporan diam-diam dang.,Kalian sudah membuat laporan diam-diam.
Ngana ada lia baju baru di Megamas dang.,Kamu melihat baju baru di Megamas.
Dorang so makang tugas skripsi tadi pagi kang.,Mereka sudah makan tugas skripsi tadi pagi.
Ngana lupa bawa baju baru diam-diam neh.,Kamu lupa membawa baju baru diam-diam.
Mama so makang laporan di kampus dang.,Ibu sudah makan laporan di kampus.
Kita nyanda suka laporan pas ujang neh.,Saya tidak suka laporan saat hujan.
Ngana ba tele baju baru pas ujang jo.,Kamu menelepon baju baru saat hujan.
Torang lupa bawa laporan kemarin sore sto.,Kami lupa membawa laporan kemarin sore.
Tu dosen ba tele hp tadi pagi kang.,Dosen itu menelepon handphone tadi pagi.
Kita so beking hp di kampus kang.,Saya sudah membuat handphone di kampus.
Tu dosen nyanda suka tugas skripsi kemarin sore sto.,Dosen itu tidak suka tugas skripsi kemarin sore.
Ngana mo pigi cari oto kemarin sore dang.,Kamu akan pergi mencari mobil kemarin sore.
Kita so makang hp kemarin sore dang.,Saya sudah makan handphone kemarin sore.
Tu dosen nyanda suka tugas skripsi tadi pagi to.,Dosen itu tidak suka tugas skripsi tadi pagi.
Ngana ba tele tugas skripsi cepat-cepat kote.,Kamu menelepon tugas skripsi dengan cepat.
Paitua mo pigi cari tugas skripsi kemarin sore dang.,Pacar (lk) akan pergi mencari tugas skripsi kemarin sore.
Ngoni so jual laporan cepat-cepat to.,Kalian sudah menjual laporan dengan cepat.
Kita ada lia tugas skripsi cepat-cepat neh.,Saya melihat tugas skripsi dengan cepat.
Ngana so beking doi diam-diam dang.,Kamu sudah membuat uang diam-diam.
Dorang ada lia tugas skripsi tadi pagi kang.,Mereka melihat tugas skripsi tadi pagi.
Kita ba tele hp pas ujang kote.,Saya menelepon handphone saat hujan.
Tu dosen ada lia laporan di kampus dang.,Dosen itu melihat laporan di kampus.
Mama ada lia laporan pas ujang dang.,Ibu melihat laporan saat hujan.
Maitua lupa bawa laporan kemarin sore neh.,Pacar (pr) lupa membawa laporan kemarin sore.
Ngoni lupa bawa oto tadi pagi dang.,Kalian lupa membawa mobil tadi pagi.
Mama lupa bawa laporan cepat-cepat dang.,Ibu lupa membawa laporan dengan cepat.
Mama lupa bawa baju baru di Megamas to.,Ibu lupa membawa baju baru di Megamas.
Kita nyanda suka doi cepat-cepat to.,Saya tidak suka uang dengan cepat.
Mama so beking hp diam-diam kote.,Ibu sudah membuat handphone diam-diam.
Ngoni ba tele hp cepat-cepat sto.,Kalian menelepon handphone dengan cepat.
Torang so makang kunci rumah kemarin sore neh.,Kami sudah makan kunci rumah kemarin sore.
Mama so jual kunci rumah di kampus jo.,Ibu sudah menjual kunci rumah di kampus.
Ngana so beking kunci rumah diam-diam neh.,Kamu sudah membuat kunci rumah diam-diam.
Kita lupa bawa baju baru di Megamas kote.,Saya lupa membawa baju baru di Megamas.
Torang lupa bawa baju baru di kampus sto.,Kami lupa membawa baju baru di kampus.
Kita so jual baju baru diam-diam neh.,Saya sudah menjual baju baru diam-diam.
Maitua so jual oto pas ujang jo.,Pacar (pr) sudah menjual mobil saat hujan.
Paitua ba tele laporan pas ujang kang.,Pacar (lk) menelepon laporan saat hujan.
Tu dosen nyanda suka doi di kampus kang.,Dosen itu tidak suka uang di kampus.
Ngoni ada lia oto pas ujang jo.,Kalian melihat mobil saat hujan.
Mama ada lia makanan kemarin sore sto.,Ibu melihat makanan kemarin sore.
Maitua lupa bawa kunci rumah kemarin sore kote.,Pacar (pr) lupa membawa kunci rumah kemarin sore.
Mama mo pigi cari tugas skripsi di Megamas kang.,Ibu akan pergi mencari tugas skripsi di Megamas.
Kita mo pigi cari doi cepat-cepat jo.,Saya akan pergi mencari uang dengan cepat.
Torang lupa bawa hp cepat-cepat dang.,Kami lupa membawa handphone dengan cepat.
Ngana lupa bawa tugas skripsi kemarin sore jo.,Kamu lupa membawa tugas skripsi kemarin sore.
Paitua mo pigi cari oto di Megamas jo.,Pacar (lk) akan pergi mencari mobil di Megamas.
Mama mo pigi cari kunci rumah diam-diam dang.,Ibu akan pergi mencari kunci rumah diam-diam.
Dorang so beking hp di kampus sto.,Mereka sudah membuat handphone di kampus.
Kita so jual baju baru diam-diam dang.,Saya sudah menjual baju baru diam-diam.
Ngoni mo pigi cari kunci rumah kemarin sore sto.,Kalian akan pergi mencari kunci rumah kemarin sore.
Maitua ada lia hp di Megamas jo.,Pacar (pr) melihat handphone di Megamas.
Dorang mo pigi cari oto tadi pagi to.,Mereka akan pergi mencari mobil tadi pagi.
Ngoni ba tele makanan diam-diam kote.,Kalian menelepon makanan diam-diam.
Dia so beking makanan cepat-cepat to.,Dia sudah membuat makanan dengan cepat.
Kita mo pigi cari baju baru tadi pagi jo.,Saya akan pergi mencari baju baru tadi pagi.
Torang nyanda suka hp cepat-cepat neh.,Kami tidak suka handphone dengan cepat.
Ngoni mo pigi cari hp di kampus dang.,Kalian akan pergi mencari handphone di kampus.
Kita nyanda suka tugas skripsi pas ujang neh.,Saya tidak suka tugas skripsi saat hujan.
Ngana ada lia makanan di Megamas neh.,Kamu melihat makanan di Megamas.
Ngoni ada lia laporan kemarin sore dang.,Kalian melihat laporan kemarin sore.
Paitua so jual hp di kampus kote.,Pacar (lk) sudah menjual handphone di kampus.
Ngoni ada lia doi pas ujang jo.,Kalian melihat uang saat hujan.
Ngana so makang makanan tadi pagi dang.,Kamu sudah makan makanan tadi pagi.
Mama so jual baju baru diam-diam jo.,Ibu sudah menjual baju baru diam-diam.
Dorang lupa bawa tugas skripsi kemarin sore sto.,Mereka lupa membawa tugas skripsi kemarin sore.
Paitua mo pigi cari hp kemarin sore to.,Pacar (lk) akan pergi mencari handphone kemarin sore.
Ngana so jual tugas skripsi cepat-cepat neh.,Kamu sudah menjual tugas skripsi dengan cepat.
Tu dosen so makang baju baru kemarin sore kang.,Dosen itu sudah makan baju baru kemarin sore.
Kita so beking hp tadi pagi sto.,Saya sudah membuat handphone tadi pagi.
Torang so makang oto cepat-cepat to.,Kami sudah makan mobil dengan cepat.
Tu dosen so makang kunci rumah pas ujang to.,Dosen itu sudah makan kunci rumah saat hujan.
Kita so makang kunci rumah kemarin sore dang.,Saya sudah makan kunci rumah kemarin sore.
Paitua so jual tugas skripsi tadi pagi kote.,Pacar (lk) sudah menjual tugas skripsi tadi pagi.
Kita so beking kunci rumah cepat-cepat neh.,Saya sudah membuat kunci rumah dengan cepat.
Ngoni ada lia tugas skripsi tadi pagi sto.,Kalian melihat tugas skripsi tadi pagi.
Ngana so beking kunci rumah tadi pagi kang.,Kamu sudah membuat kunci rumah tadi pagi.
Dia so makang laporan di kampus sto.,Dia sudah makan laporan di kampus.
Maitua lupa bawa kunci rumah diam-diam dang.,Pacar (pr) lupa membawa kunci rumah diam-diam.
Ngana mo pigi cari hp di Megamas neh.,Kamu akan pergi mencari handphone di Megamas.
Ngana so jual doi di kampus kote.,Kamu sudah menjual uang di kampus.
Dorang ada lia doi pas ujang to.,Mereka melihat uang saat hujan.
Ngana mo pigi cari baju baru tadi pagi kang.,Kamu akan pergi mencari baju baru tadi pagi.
Maitua mo pigi cari tugas skripsi pas ujang kote.,Pacar (pr) akan pergi mencari tugas skripsi saat hujan.
Ngana ba tele baju baru kemarin sore kote.,Kamu menelepon baju baru kemarin sore.
Mama ada lia oto di Megamas to.,Ibu melihat mobil di Megamas.
Paitua lupa bawa oto cepat-cepat kote.,Pacar (lk) lupa membawa mobil dengan cepat.
Dorang so beking oto di Megamas to.,Mereka sudah membuat mobil di Megamas.
Ngana so makang baju baru tadi pagi kote.,Kamu sudah makan baju baru tadi pagi.
Ngoni ada lia tugas skripsi tadi pagi jo.,Kalian melihat tugas skripsi tadi pagi.
Dia nyanda suka doi cepat-cepat kang.,Dia tidak suka uang dengan cepat.
Tu dosen so jual laporan cepat-cepat to.,Dosen itu sudah menjual laporan dengan cepat.
Maitua so beking tugas skripsi tadi pagi dang.,Pacar (pr) sudah membuat tugas skripsi tadi pagi.
Tu dosen mo pigi cari kunci rumah diam-diam sto.,Dosen itu akan pergi mencari kunci rumah diam-diam.
Ngoni mo pigi cari baju baru di Megamas neh.,Kalian akan pergi mencari baju baru di Megamas.
Kita so jual doi pas ujang kote.,Saya sudah menjual uang saat hujan.
Tu dosen ada lia kunci rumah kemarin sore jo.,Dosen itu melihat kunci rumah kemarin sore.
Paitua nyanda suka baju baru di Megamas kang.,Pacar (lk) tidak suka baju baru di Megamas.
Mama ba tele tugas skripsi diam-diam dang.,Ibu menelepon tugas skripsi diam-diam.
Maitua so jual kunci rumah cepat-cepat to.,Pacar (pr) sudah menjual kunci rumah dengan cepat.
Mama ada lia doi di kampus to.,Ibu melihat uang di kampus.
Dia so jual doi tadi pagi kote.,Dia sudah menjual uang tadi pagi.
Tu dosen lupa bawa makanan cepat-cepat to.,Dosen itu lupa membawa makanan dengan cepat.
Paitua so makang baju baru pas ujang kang.,Pacar (lk) sudah makan baju baru saat hujan.
Torang nyanda suka hp cepat-cepat kang.,Kami tidak suka handphone dengan cepat.
Ngana lupa bawa laporan di Megamas dang.,Kamu lupa membawa laporan di Megamas.
Dorang lupa bawa laporan di Megamas kote.,Mereka lupa membawa laporan di Megamas.
Dorang lupa bawa baju baru di Megamas sto.,Mereka lupa membawa baju baru di Megamas.
Tu dosen nyanda suka baju baru cepat-cepat to.,Dosen itu tidak suka baju baru dengan cepat.
Dia ba tele doi diam-diam dang.,Dia menelepon uang diam-diam.
Ngoni so beking hp kemarin sore sto.,Kalian sudah membuat handphone kemarin sore.
Kita ada lia hp di kampus dang.,Saya melihat handphone di kampus.
Paitua so makang doi kemarin sore neh.,Pacar (lk) sudah makan uang kemarin sore.
Tu dosen so jual hp cepat-cepat kote.,Dosen itu sudah menjual handphone dengan cepat.
Paitua nyanda suka laporan diam-diam kang.,Pacar (lk) tidak suka laporan diam-diam.
Dia so jual oto cepat-cepat to.,Dia sudah menjual mobil dengan cepat.
Tu dosen so makang tugas skripsi diam-diam jo.,Dosen itu sudah makan tugas skripsi diam-diam.
Dorang so beking baju baru kemarin sore kote.,Mereka sudah membuat baju baru kemarin sore.
Dorang mo pigi cari tugas skripsi cepat-cepat kote.,Mereka akan pergi mencari tugas skripsi dengan cepat.
Dorang so jual laporan kemarin sore jo.,Mereka sudah menjual laporan kemarin sore.
Ngana so makang baju baru pas ujang jo.,Kamu sudah makan baju baru saat hujan.
Dia ba tele doi tadi pagi neh.,Dia menelepon uang tadi pagi.
Paitua lupa bawa baju baru di Megamas kang.,Pacar (lk) lupa membawa baju baru di Megamas.
Paitua so makang laporan di kampus kote.,Pacar (lk) sudah makan laporan di kampus.
Maitua ada lia tugas skripsi pas ujang jo.,Pacar (pr) melihat tugas skripsi saat hujan.
Kita lupa bawa makanan di kampus neh.,Saya lupa membawa makanan di kampus.
Maitua lupa bawa oto di kampus to.,Pacar (pr) lupa membawa mobil di kampus.
Ngana ada lia kunci rumah diam-diam to.,Kamu melihat kunci rumah diam-diam.
Tu dosen so jual tugas skripsi diam-diam sto.,Dosen itu sudah menjual tugas skripsi diam-diam.
Kita ba tele hp di kampus kang.,Saya menelepon handphone di kampus.
Dorang mo pigi cari makanan pas ujang kang.,Mereka akan pergi mencari makanan saat hujan.
Maitua so beking hp pas ujang to.,Pacar (pr) sudah membuat handphone saat hujan.
Maitua nyanda suka doi diam-diam sto.,Pacar (pr) tidak suka uang diam-diam.
Maitua mo pigi cari tugas skripsi tadi pagi sto.,Pacar (pr) akan pergi mencari tugas skripsi tadi pagi.
Maitua so beking hp di kampus kote.,Pacar (pr) sudah membuat handphone di kampus.
Paitua so jual oto di kampus kote.,Pacar (lk) sudah menjual mobil di kampus.
Dorang mo pigi cari kunci rumah kemarin sore neh.,Mereka akan pergi mencari kunci rumah kemarin sore.
Dia nyanda suka tugas skripsi pas ujang kote.,Dia tidak suka tugas skripsi saat hujan.
Mama so makang doi cepat-cepat to.,Ibu sudah makan uang dengan cepat.
Paitua ba tele oto pas ujang to.,Pacar (lk) menelepon mobil saat hujan.
Dia lupa bawa makanan di kampus kote.,Dia lupa membawa makanan di kampus.
Ngoni so beking hp kemarin sore sto.,Kalian sudah membuat handphone kemarin sore.
Dia mo pigi cari kunci rumah di kampus kang.,Dia akan pergi mencari kunci rumah di kampus.
Ngoni so jual tugas skripsi di Megamas kang.,Kalian sudah menjual tugas skripsi di Megamas.
Tu dosen so beking baju baru cepat-cepat jo.,Dosen itu sudah membuat baju baru dengan cepat.
Mama so jual baju baru tadi pagi to.,Ibu sudah menjual baju baru tadi pagi.
Paitua ba tele laporan cepat-cepat jo.,Pacar (lk) menelepon laporan dengan cepat.
Torang ada lia oto cepat-cepat jo.,Kami melihat mobil dengan cepat.
Dia mo pigi cari kunci rumah kemarin sore kote.,Dia akan pergi mencari kunci rumah kemarin sore.
Paitua nyanda suka makanan pas ujang kote.,Pacar (lk) tidak suka makanan saat hujan.
Ngana so beking makanan cepat-cepat to.,Kamu sudah membuat makanan dengan cepat.
Mama so beking tugas skripsi di kampus dang.,Ibu sudah membuat tugas skripsi di kampus.
Ngoni so jual tugas skripsi tadi pagi kang.,Kalian sudah menjual tugas skripsi tadi pagi.
Maitua so beking laporan cepat-cepat to.,Pacar (pr) sudah membuat laporan dengan cepat.
Tu dosen nyanda suka laporan cepat-cepat kang.,Dosen itu tidak suka laporan dengan cepat.
Dorang ada lia doi tadi pagi jo.,Mereka melihat uang tadi pagi.
Ngana so makang baju baru tadi pagi kote.,Kamu sudah makan baju baru tadi pagi.
Torang lupa bawa doi tadi pagi jo.,Kami lupa membawa uang tadi pagi.
